X;ID;dataSetName;archiveType;siteName;latitude;longitude;elevation;region;country;startYear;endYear
[ID166]_Gleeson_5_[Col6]_HME_Signalfree_2;166;Gleeson_5;tree;Heim Morena Este; -50.60000000; -73.66667;  650.0;South America;Argentina;  1684;2007
[ID169]_CTP_East_[Col6]_CTP_East_BLT_RFR_Signalfree_2;169;CTP_East;tree;CTP East Tasmania; -42.00000000; 148.00000;  600.0;Australasia;Australia;  1152;1994
[ID176]_arge021_[Col6]_HUI_Christie;176;arge021;tree;HUINGANCO; -37.75000000; -70.60000; 1400.0;South America;Argentina;  1418;2000
[ID178]_arge019_[Col6]_arge019_Signalfree_2;178;arge019;tree;LAGO RUCACHOROI; -39.21666667; -71.16667; 1330.0;South America;Argentina;  1572;1976
[ID181]_chil002_[Col6]_chil002_Signalfree_2;181;chil002;tree;EL ASIENTO, ACONCAGUA; -32.48333333; -70.81667; 1800.0;South America;Chile;   955;2000
[ID202]_chil008_[Col6]_chil008_Signalfree_2;202;chil008;tree;VOLCAN LONQUIMAY; -38.38333333; -71.56667; 1510.0;South America;Chile;  1664;1975
[ID206]_arge035_[Col6]_arge035_Signalfree_2;206;arge035;tree;DIQUE ESCABA, TUCUMAN; -27.70000000; -65.78333;  900.0;South America;Argentina;  1813;1985
[ID216]_Ahaura_Treering_[Col6]_Ahaura_EC_Signalfree_2;216;Ahaura_Treering;tree;Ahaura; -42.38333333; 171.80000;  244.0;Australasia;New Zealand;  1175;2000
[ID219]_arge029_[Col6]_arge029_Signalfree_2;219;arge029;tree;CHAPELCO; -40.33333333; -71.23333; 1700.0;South America;Argentina;  1766;1985
[ID225]_arge005_[Col6]_arge005_Signalfree_2;225;arge005;tree;PINO HACHADO; -38.63333333; -70.75000; 1400.0;South America;Argentina;  1459;1974
[ID284]_arge051_[Col6]_arge051_Signalfree_2;284;arge051;tree;PUERTO PARRYN T. DEL FUEGO; -54.83333333; -64.36667;   20.0;South America;Argentina;  1726;1986
[ID285]_arge050_[Col6]_arge050_Signalfree_2;285;arge050;tree;PASO CORDOVA, NEUQUEN; -40.66666667; -71.25000; 1890.0;South America;Argentina;  1692;1986
[ID287]_arge048_[Col6]_arge048_Signalfree_2;287;arge048;tree;ALTO LOS MANANTIALES; -32.71666667; -69.08333; 3100.0;South America;Argentina;  1768;1986
[ID298]_TR_Cluster_CAN18_[Col6]_NOPU_Cluster_6_Data_Signalfree_2;298;TR_Cluster_CAN18;tree;CAN18_Cluster; -41.25000000; -71.50000; 1550.0;South America;Argentina;  1546;1994
[ID311]_NI_LIBI_Composite_1_[Col6]_NI_LIBI_Composite_1_Signalfree_2;311;NI_LIBI_Composite_1;tree;NI LIBI Composite 1; -39.50000000; 175.50000; 1100.0;Australasia;New Zealand;  1517;1992
[ID317]_TR_Cluster_CAN21_[Col6]_C.Andes_Cluster_17_Data_Signalfree_2;317;TR_Cluster_CAN21;tree;CAN21_Cluster; -41.50000000; -71.50000;  670.0;South America;Argentina;  1596;1992
[ID318]_NI_LIBI_URW_[Col6]_URW_newz063_Signalfree_2;318;NI_LIBI_URW;tree;Urewera; -38.68333333; 177.20000;  930.0;Australasia;New Zealand;  1442;1992
[ID319]_NI_LIBI_TAK_[Col6]_TAK_newz062_Signalfree_2;319;NI_LIBI_TAK;tree;Takapari; -40.06666667; 175.98333;  960.0;Australasia;New Zealand;  1530;1992
[ID320]_NI_LIBI_Conmposite_2_[Col6]_NI_LIBI_Composite_2_Signalfree_2;320;NI_LIBI_Conmposite_2;tree;NI LIBI Composite 2; -39.26666667; 174.10000; 1000.0;Australasia;New Zealand;  1671;1990
[ID321]_SI_LIBI_FLA_[Col6]_FLA_newz065_Signalfree_2;321;SI_LIBI_FLA;tree;Flanagans Hut; -41.26666667; 172.60000;  950.0;Australasia;New Zealand;  1778;1991
[ID325]_Srur_1_[Col6]_bajoco_Signalfree_2;325;Srur_1;tree;El Chalten bajo; -49.36666667; -72.90000;  760.0;South America;Argentina;  1770;2003
[ID331]_Stew_Isl_HABI_composite_[Col6]_Stewart_Island_HABI_composite_Signalfree_2;331;Stew_Isl_HABI_composite;tree;Stewart Island; -47.00000000; 168.00000;  450.0;Australasia;New Zealand;  1604;1994
[ID335]_SI_LIBI_MOA_[Col6]_MOA_newz067_Signalfree_2;335;SI_LIBI_MOA;tree;Moa Park; -40.93333333; 172.93333; 1036.0;Australasia;New Zealand;  1551;1991
[ID347]_TR_Cluster_CAN13_[Col6]_C.Andes_Cluster_10A_NEU_Data_Signalfree_2;347;TR_Cluster_CAN13;tree;CAN13_Cluster; -41.00000000; -71.25000; 1000.0;South America;Argentina;  1461;2003
[ID348]_TR_Cluster_CAN8_[Col6]_C.Andes_Cluster_10B_Data_Signalfree_2;348;TR_Cluster_CAN8;tree;CAN8_Cluster; -39.16666667; -71.16667; 1125.0;South America;Argentina;  1562;1989
